account_name,project_name,project_address,journal,register_time
BZMBN4,PQ_9BUX_V6_2800RPM,G:/_volute_PQ/9BUX/9BUX_V6/9BUX_V6_2800RPM,G:/_volute_PQ/9BUX/9BUX_V6/9BUX_V6_2800RPM/PQ_9BUX_V6_2800RPM.jou,2020-09-17 09:25:03
BZMBN4,PQ_9BUX_V3_2800RPM,G:/_volute_PQ/9BUX/9BUX_V3/9BUX_2800RPM,G:/_volute_PQ/9BUX/9BUX_V3/9BUX_2800RPM/PQ_9BUX_V3_2800RPM.jou,2020-09-16 16:23:23
BZMBN4,PQ_9BUX_V5_2800RPM_solve,G:/_volute_PQ/9BUX/9BUX_V5/9BUX_2800RPM,G:/_volute_PQ/9BUX/9BUX_V5/9BUX_2800RPM/PQ_9BUX_V5_2800RPM_solve.jou,2020-09-16 16:47:09
